customer_tweet_id,customer_text,customer_time,agent_tweet_id,agent_text,agent_time,customer_clean,agent_clean,pair_id
1204868,@AmericanAir Lower mileage requirements so these can be used effectively (like SW),2017-05-01 17:00:46+00:00,1204870,@400210 We think our AAdvantage program is top notch; however we do value your feedback. We hope to see you in the air soon.,Mon May 01 18:17:14 +0000 2017,Lower mileage requirements so these can be used effectively (like SW),We think our AAdvantage program is top notch; however we do value your feedback. We hope to see you in the air soon.,AA-000025
2379272,@AmericanAir Two kids under 7 &amp; you switch equipment and give the 4 of us middle seats all over the airplane.  Unacceptable Speechless Livid,2017-06-11 19:58:10+00:00,2379270,"@356471 We're very sorry for the inconveniences, Jim, but we know our agents did everything possible to get your family together.",Sun Jun 11 20:04:26 +0000 2017,Two kids under 7 & you switch equipment and give the 4 of us middle seats all over the airplane. Unacceptable Speechless Livid,"We're very sorry for the inconveniences, Jim, but we know our agents did everything possible to get your family together.",AA-000028
1247249,"@AmericanAir: With @206281 (and #topbonus) having filed for #bankruptcy, how about offering a status-match when switching to #AAdvantage?",2017-08-25 12:24:49+00:00,1247247,@198581 We'd love to have you come fly with us! Please contact AAdvantage Customer Service at 800-882-8880 for more info.,Fri Aug 25 12:54:09 +0000 2017,": With (and #topbonus) having filed for #bankruptcy, how about offering a status-match when switching to #AAdvantage?",We'd love to have you come fly with us! Please contact AAdvantage Customer Service at 800-882-8880 for more info.,AA-000046
417821,@americanair just found out you don't recycle the thousands of clear cups used each day on thousands of flights...?! Do better AA!,2017-08-28 17:00:16+00:00,417819,@214692 We love to recycle! Check out the details including our mission for reducing our environmental impact: https://t.co/pLPtpaMVOl,Mon Aug 28 17:05:34 +0000 2017,just found out you don't recycle the thousands of clear cups used each day on thousands of flights...?! Do better AA!,We love to recycle! Check out the details including our mission for reducing our environmental impact:,AA-000048
1684322,@AmericanAir ACK! App crashed right at TSA checkpoint. Updated this AM too. Had to get out of line and get printed BP. Pls help performance!,2017-09-13 13:28:28+00:00,1684321,"@511866 We're sorry that this happened, Julie. We'd like to let our App team know. What's the make/model of your device?",Wed Sep 13 15:39:42 +0000 2017,ACK! App crashed right at TSA checkpoint. Updated this AM too. Had to get out of line and get printed BP. Pls help performance!,"We're sorry that this happened, Julie. We'd like to let our App team know. What's the make/model of your device?",AA-000056
346219,Like it doesn't even make sense to wait longer to board the plane than it does to arrive to my destination @AmericanAir 🙄😔,2017-09-23 03:57:35+00:00,346218,@170350 Our team does all possible to avoid delays. We're sorry for the extra wait.,Sat Sep 23 04:07:17 +0000 2017,Like it doesn't even make sense to wait longer to board the plane than it does to arrive to my destination 🙄😔,Our team does all possible to avoid delays. We're sorry for the extra wait.,AA-000064
766888,@AmericanAir case has been opened &amp; no lock put back thnx for nothing #poorservice #NeverAgain,2017-09-24 01:26:31+00:00,766886,@303284 We're so sorry for the lost lock. Our friends at @120944 work hard to return your items the way they were received.,Sun Sep 24 01:33:06 +0000 2017,case has been opened & no lock put back thnx for nothing #poorservice #NeverAgain,We're so sorry for the lost lock. Our friends at work hard to return your items the way they were received.,AA-000067
238310,@AmericanAir Really annoyed been over a month since my damaged bag claim never heard back! done as told...,2017-09-24 11:39:35+00:00,238308,@143005 Please give our Baggage team a call at 800-866-4010 for updates that may be available.,Sun Sep 24 11:56:29 +0000 2017,Really annoyed been over a month since my damaged bag claim never heard back! done as told...,Please give our Baggage team a call at 800-866-4010 for updates that may be available.,AA-000068
2331237,@AmericanAir ok cool because I'm trying to fall in love,2017-09-24 21:36:43+00:00,2331236,"@674863 You never know, maybe #LoveIsInTheAir today?",Sun Sep 24 21:40:24 +0000 2017,ok cool because I'm trying to fall in love,"You never know, maybe #LoveIsInTheAir today?",AA-000071
2038469,@AmericanAir This is explicitly fraud. I'll be contacting CA attorney general. https://t.co/zljxNb2r8U,2017-09-26 20:27:28+00:00,2038468,"@602730 Mark, we're not forcing you pay for Preferred or Main Cabin Extra seats. Seats can become available if the customer decides to switch.",Tue Sep 26 21:15:22 +0000 2017,This is explicitly fraud. I'll be contacting CA attorney general.,"Mark, we're not forcing you pay for Preferred or Main Cabin Extra seats. Seats can become available if the customer decides to switch.",AA-000078
