customer_tweet_id,customer_text,customer_time,agent_tweet_id,agent_text,agent_time,customer_clean,agent_clean,pair_id
626918,@americanair Do you have a number to call you and check the flight status?,2011-06-16 13:38:36+00:00,626916,"@28752 Text ""FLYAA"" (35922) with your flight number to get instant flight info!",Thu Jun 16 13:49:04 +0000 2011,Do you have a number to call you and check the flight status?,"Text ""FLYAA"" (35922) with your flight number to get instant flight info!",AA-000000
2502768,"Personally @97121 I think @AmericanAir needs a dance floor, a disco ball, a cocktail bar with vintage cocktail waitresses, and... hmm",2013-09-04 18:22:07+00:00,2502766,"@713819 That sounds like fun, Sunita! We can all wear disco fashion.",Wed Sep 04 18:33:04 +0000 2013,"Personally I think needs a dance floor, a disco ball, a cocktail bar with vintage cocktail waitresses, and... hmm","That sounds like fun, Sunita! We can all wear disco fashion.",AA-000001
1312223,@AmericanAir cld you pls update passengers of AA5 from DFW as to status of 2nd plane on this service after mech failure? Are we flying out?,2014-12-08 23:54:47+00:00,1312222,@426644 We know you're anxious to be on your way. We'll have an update on AA5 at 7p. Thanks for your patience.,Tue Dec 09 00:24:07 +0000 2014,cld you pls update passengers of AA5 from DFW as to status of 2nd plane on this service after mech failure? Are we flying out?,We know you're anxious to be on your way. We'll have an update on AA5 at 7p. Thanks for your patience.,AA-000002
863025,"Wow. I fly a lot. But @AmericanAir is above the rest.  They care about people.  I fly 100,000 miles a year and they are the BEST.",2015-04-05 23:48:59+00:00,863022,"@324933 Thanks for the shout-out, Charlie! Now let's make more of those 100,000 with us. #wink",Mon Apr 06 00:16:53 +0000 2015,"Wow. I fly a lot. But is above the rest. They care about people. I fly 100,000 miles a year and they are the BEST.","Thanks for the shout-out, Charlie! Now let's make more of those 100,000 with us. #wink",AA-000003
2863333,@AmericanAir YOU FOUND HIM!!!!,2015-06-05 18:30:56+00:00,2863332,"@442183 Yes, we did! Snape was on board for his moment in the social spotlight. #AATeam",Fri Jun 05 18:50:14 +0000 2015,YOU FOUND HIM!!!!,"Yes, we did! Snape was on board for his moment in the social spotlight. #AATeam",AA-000004
2863331,@AmericanAir I am so so happy finally there is a name to that face that has set the internet alight! :D,2015-06-05 18:59:00+00:00,2863329,@442183 We love your enthusiasm! We're happy to share #SnAApe with the rest of the world.,Fri Jun 05 18:59:48 +0000 2015,I am so so happy finally there is a name to that face that has set the internet alight! :D,We love your enthusiasm! We're happy to share #SnAApe with the rest of the world.,AA-000005
1347536,I recommend people not use @AmericanAir unless they want poor service and/or want to be stuck somewhere all night. http://t.co/QCe2W0y50l,2015-08-07 11:43:19+00:00,1347534,@434250 We're truly sorry your travel isn't going as intended. We hope you'll reconsider and give us another chance.,Fri Aug 07 11:50:15 +0000 2015,I recommend people not use unless they want poor service and/or want to be stuck somewhere all night.,We're truly sorry your travel isn't going as intended. We hope you'll reconsider and give us another chance.,AA-000006
1183395,@AmericanAir I have AAdvantage Visa &amp; Master cards &amp; they WILL NOT WORK IN SAMAUNG PAY OR ANDROID PAY but work in Apple Pay &amp; Google pay WTF,2015-10-05 20:07:56+00:00,1183394,"@398285 We're a bit confused by your tweet, Alex. Are you trying to complete a payment on our Website?",Mon Oct 05 20:49:04 +0000 2015,I have AAdvantage Visa & Master cards & they WILL NOT WORK IN SAMAUNG PAY OR ANDROID PAY but work in Apple Pay & Google pay WTF,"We're a bit confused by your tweet, Alex. Are you trying to complete a payment on our Website?",AA-000007
1183393,@AmericanAir I’m trying to add my AAdvantage cards to Samsung Pay but it looks like your partner Citi won’t allow it http://t.co/ysdNHVXYN2,2015-10-06 06:14:25+00:00,1183392,"@398285 AAdvantage cards are not eligible to be used for mobile payments, Alex.",Tue Oct 06 06:18:26 +0000 2015,I’m trying to add my AAdvantage cards to Samsung Pay but it looks like your partner Citi won’t allow it,"AAdvantage cards are not eligible to be used for mobile payments, Alex.",AA-000008
1183390,@AmericanAir Then why is it I'm able to add it to Apple Pay on my iPhone 6s Plus. Plus this offer I got in May? http://t.co/wWQ4Eex82I,2015-10-06 06:25:44+00:00,1183385,"@398285 Our apologies, Alex. They're not eligible for Samsung or Android Pay.",Tue Oct 06 06:31:27 +0000 2015,Then why is it I'm able to add it to Apple Pay on my iPhone 6s Plus. Plus this offer I got in May?,"Our apologies, Alex. They're not eligible for Samsung or Android Pay.",AA-000009
